Id,Name,Price,Disabled,DueDate,Barrower,Fee,Discount
61,Geology,10.0,Enabled,null,BLANK,0.0,0.4
62,Geology,10.0,Enabled,null,BLANK,0.0,0.4
63,Geology,10.0,Enabled,null,BLANK,0.0,0.4
64,Geology,10.0,Enabled,null,BLANK,0.0,0.4
65,Geology,10.0,Enabled,null,BLANK,0.0,0.4
66,Geology,10.0,Enabled,null,BLANK,0.0,0.4
67,Geology,10.0,Enabled,null,BLANK,0.0,0.4
68,Geology,10.0,Enabled,null,BLANK,0.0,0.4
69,Geology,10.0,Enabled,null,BLANK,0.0,0.4
70,Geology,10.0,Enabled,null,BLANK,0.0,0.4
71,Geology,10.0,Enabled,null,BLANK,0.0,0.4
72,Geology,10.0,Enabled,null,BLANK,0.0,0.4
73,Geology,10.0,Enabled,null,BLANK,0.0,0.4
74,Geology,10.0,Enabled,null,BLANK,0.0,0.4
75,Geology,10.0,Enabled,null,BLANK,0.0,0.4
76,Geology,10.0,Enabled,null,BLANK,0.0,0.4
77,Geology,10.0,Enabled,null,BLANK,0.0,0.4
78,Geology,10.0,Enabled,null,BLANK,0.0,0.4
79,Geology,10.0,Enabled,null,BLANK,0.0,0.4
80,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
82,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
83,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
84,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
85,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
86,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
87,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
88,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
89,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
90,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
91,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
92,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
93,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
94,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
95,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
96,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
97,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
98,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
99,Cool Math Book,125.0,Enabled,null,BLANK,0.0,0.0
103,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
104,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
105,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
106,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
107,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
108,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
109,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
110,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
111,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
112,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
113,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
114,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
115,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
116,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
117,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
118,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
119,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
120,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
121,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
122,Art Book,0.0,Enabled,null,BLANK,0.0,0.0
123,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
124,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
125,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
126,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
127,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
128,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
129,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
130,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
131,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
132,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
133,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
134,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
135,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
136,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
137,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
138,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
139,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
140,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
141,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
142,Cooler Art Book,20.0,Enabled,null,BLANK,0.0,0.0
0,Math & Stats,12.0,Enabled,Tue Feb 20 06:56:39 EST 2024,Od2@gmail.com,0.0,0.0
21,Science,0.0,Enabled,Mon Mar 18 07:56:39 EDT 2024,Od2@gmail.com,0.0,0.0
60,Geology,10.0,Enabled,Thu Mar 21 23:56:39 EDT 2024,Od2@gmail.com,0.0,0.4
81,Cool Math Book,125.0,Enabled,Sun Apr 21 07:56:39 EDT 2024,Od2@gmail.com,0.0,0.0
